"","Category","kf25","kf50","kf100","kfit100.sp$cluster","kfit150.sp$cluster","kfit150$cluster","kfit250$cluster","kfit250.sp$cluster"
"1985","warehouse casers",14,36,89,86,137,16,71,150
"1986","gymnastics equipment",14,10,86,81,75,148,200,195
"1987","utility landing watercraft",23,12,53,41,87,20,12,20
"1988","safety footwear",14,36,21,21,91,72,96,135
"1989","domestic kitchenware",14,36,89,86,137,16,71,150
"1990","underground mining service vehicles",2,13,68,98,149,101,221,160
"1991","vehicle batteries",14,7,62,21,16,84,81,137
"1992","pillow cases",14,36,89,21,91,16,71,205
"1993","soft timber",14,36,89,35,110,16,71,165
"1994","chromatographic measuring instruments and accessories",25,20,92,9,119,137,177,235
"1995","brassieres",7,2,8,35,110,15,34,165
"1996","timepieces",7,2,8,86,137,15,34,150
"1997","window treatments",14,36,89,21,91,16,71,205
"1998","medical facility products",23,12,46,36,150,119,198,42
"1999","saddlery and harness goods",23,12,53,21,91,20,185,205
"2000","recreation and playground and swimming and spa equipment and supplies",4,48,32,6,2,75,74,28
"2001","forestry",7,2,8,86,137,15,34,150
"2002","meat and poultry",14,36,89,21,91,16,71,205
"2003","packaged combination meals",23,12,53,41,87,20,126,20
"2004","leatherworking repairing machinery and equipment",6,32,29,20,3,88,250,75
"2005","milk and butter products",23,12,46,74,79,119,198,107
"2006","railway and tramway cars",23,12,53,41,87,20,12,20
"2007","gymnastics and boxing equipment",19,6,87,20,3,17,47,247
"2008","infant foods and beverages",23,12,53,41,101,20,12,20
"2009","herbs and spices and extracts",23,12,53,21,91,20,12,205
"2010","mixers and their parts and accessories",18,30,48,9,96,11,176,235
"2011","non alcoholic beverages",23,12,53,41,87,20,80,86
"2012","confectionary products",14,21,77,38,21,43,247,171
"2013","patient exam and monitoring products",25,20,35,36,150,98,173,42
"2014","seeds and bulbs and seedlings and cuttings",25,20,35,21,91,32,210,205
"2015","processed and prepared meats",23,12,17,41,87,20,35,175
"2016","additives",7,2,8,86,137,15,34,150
"2017","desserts and dessert toppings",16,16,42,86,137,57,224,150
"2018","veterinary equipment and supplies",19,6,87,82,3,17,16,56
"2019","defrosting and defogging systems",17,27,100,25,53,150,241,225
"2020","collectibles and awards",14,36,89,21,91,16,71,205
"2021","forensic equipment and supplies and accessories",11,32,34,23,54,102,75,128
"2022","recreational watercraft",14,36,89,21,91,16,71,205
"2023","seasonings and preservatives",14,36,89,86,137,16,71,150
"2024","vegetables",7,2,8,86,137,15,34,150
"2025","vehicle doors",14,7,62,21,122,84,81,137
"2026","rechargeable batteries",14,36,89,54,137,16,71,85
"2027","classroom decoratives and supplies",23,30,19,63,145,36,248,162
"2028","arts and crafts equipment and accessories and supplies",16,16,76,6,2,26,101,52
"2029","field and court sports equipment",11,32,20,75,36,88,33,58
"2030","wildlife and flora",14,36,89,86,137,16,71,150
"2031","ergonomic support aids",23,12,6,21,91,21,125,205
"2032","environmental protection",14,36,65,19,118,78,243,6
"2033","metal waste and scrap",23,12,53,7,67,37,98,143
"2034","chocolate and sugars and sweeteners and confectionary products",16,16,42,38,21,57,31,171
"2035","baking mixes and supplies",23,30,19,65,128,36,248,206
"2036","oil and gas drilling and operation materials",16,4,42,47,107,114,11,49
"2037","preserved  drupe or stone fruits",25,20,35,62,64,32,210,127
"2038","instant mixes and supplies",23,30,19,65,128,36,248,206
"2039","storage vessels and tanks",23,12,57,40,87,55,103,153
"2040","mining and well drilling machinery and accessories",16,16,81,47,69,45,70,142
"2041","intravenous and arterial administration products",25,20,35,62,64,98,173,184
"2042","robot components",14,36,89,21,32,16,106,186
"2043","insurance services for structures and property and possessions",15,8,40,94,63,18,120,189
"2044","drum cradles",14,36,89,21,91,16,71,205
"2045","computer cradles",14,36,10,30,98,35,20,132
"2046","disease prevention and control",23,12,53,41,87,67,211,175
"2047","railroad support equipment and systems",11,32,90,20,60,88,10,228
"2048","military tactics",14,36,89,86,137,74,130,234
"2049","snack foods",14,36,89,86,137,16,71,150
"2050","locomotives and electric trolleys",23,12,22,2,91,20,59,186
"2051","pest control products",23,12,46,36,150,119,198,42
"2052","fishing and hunting equipment",19,6,87,81,75,17,47,195
"2053","prepared side dishes",23,12,17,21,91,20,12,205
"2054","institutional food services equipment",8,13,97,10,139,124,13,209
"2055","crowd control equipment",19,6,87,81,75,17,213,195
"2056","hospital robes",14,36,89,86,137,16,71,150
"2057","tool chests or boxes or cabinets",25,20,35,62,64,13,232,198
"2058","medical lamps",14,36,58,21,83,16,216,111
"2059","tankers",7,2,8,35,110,15,34,165
"2060","fuel tanks",14,36,82,21,56,132,49,41
"2061","cargo trucks",14,36,89,21,91,16,71,205
"2062","veterinary nutritional supplement",23,12,53,21,91,20,12,205
"2063","sale of property and building",23,12,93,41,108,54,144,133
"2064","aircraft fire control or extinguishing systems",20,16,71,47,52,39,212,151
"2065","railway and tramway machinery and equipment",6,32,29,75,36,88,250,203
"2066","plaster or mortar mixers",23,12,53,41,87,20,12,20
"2067","diesel engines",14,42,84,21,95,64,141,31
"2068","slickline equipment",14,10,86,84,70,148,200,213
"2069","tillers",7,2,8,35,110,15,34,165
"2070","dump trucks",14,36,89,86,137,16,71,150
"2071","tow trucks",14,36,89,86,137,16,71,150
"2072","oil and gas operating and production equipment",16,16,76,6,1,19,78,25
"2073","fresh citrus juice or concentrate",25,20,35,41,87,32,210,20
"2074","eggs and egg substitutes",16,16,42,47,66,57,224,62
"2075","shellfish",7,2,8,35,110,15,34,165
"2076","commercial or industrial construction",23,38,52,41,142,27,236,178
"2077","drug abuse prevention or control programs",16,16,42,62,64,57,224,127
"2078","coffee and tea",14,36,89,21,91,16,71,205
"2079","fire or rescue trucks",23,12,53,41,87,4,12,136
"2080","metal oxide",24,29,89,26,41,16,71,205
"2081","roof systems",13,5,16,53,82,86,175,161
"2082","performing arts",14,36,89,21,91,16,37,205
"2083","watersports equipment",14,10,86,84,70,148,200,213
"2084","military bases",14,36,89,21,106,74,130,4
"2085","cakes and pies and pastries",23,12,53,35,110,20,12,165
"2086","religious organisations",14,36,89,21,91,16,71,205
"2087","nozzles",7,2,8,86,137,15,34,150
"2088","field medical or laboratory medical equipment kits or related products",9,37,69,69,12,122,30,183
"2089","respiratory and anaesthesia and resuscitation products",25,20,35,36,150,98,173,42
"2090","surgical products",14,21,77,38,21,43,247,171
"2091","rescue services",10,46,54,92,99,51,109,1
"2092","toys and games",14,36,89,21,91,16,71,205
"2093","passive discrete components",23,12,53,21,32,87,167,186
"2094","foundry  machines and equipment and supplies",11,32,34,82,3,102,180,56
"2095","cages or its accessories",13,5,24,80,131,69,222,73
"2096","tape",7,2,8,86,137,15,154,150
"2097","cargo handling equipment",19,6,87,20,3,17,47,247
"2098","painting and paper hanging",23,12,78,21,129,111,161,91
"2099","torque wrenches",14,36,89,86,137,16,71,150
"2100","mens slacks or trousers or shorts",25,20,35,62,64,32,210,127
"2101","marine propellers",14,36,89,21,91,16,71,205
"2102","wetsuits",7,2,8,35,110,15,34,165
"2103","water trucks",14,36,89,45,122,132,104,78
"2104","sewing supplies and accessories",18,30,48,9,103,110,176,21
"2105","cookware and kitchen tools",22,12,53,21,134,20,218,82
"2106","commercial water heaters",23,38,53,45,122,54,63,78
"2107","packaging pouches or bags",23,12,53,41,87,20,126,20
"2108","forklifts",7,2,8,86,137,15,34,150
"2109","employment promotion or planning services",2,13,5,94,63,2,9,68
"2110","debt management",14,36,44,86,137,24,237,57
"2111","agents affecting water and electrolytes",25,20,15,45,122,116,196,78
"2112","socio political conditions",23,12,53,41,87,20,12,20
"2113","property law services",1,50,31,98,149,80,119,106
"2114","planning systems",13,5,16,53,82,86,175,161
"2115","residential homes",14,36,89,21,91,16,71,205
"2116","fact checking services",1,50,31,92,99,80,119,1
"2117","meeting planning services",1,50,99,98,149,80,164,54
"2118","part time adult education services",15,8,40,18,65,18,120,157
"2119","national council services",1,50,31,92,99,80,119,1
"2120","youth movements or organisations services",2,13,68,98,149,101,221,106
"2121","international relations and cooperation",23,12,53,41,87,20,12,20
"2122","programming for java",14,36,58,86,137,16,146,163
"2123","displaced persons assistance services",2,13,68,98,37,101,221,146
"2124","personal safety instructional materials",25,20,2,1,34,65,67,139
"2125","interview skills instructional materials",25,20,2,62,34,65,67,139
"2126","regional or location studies for projects",25,20,35,41,87,32,210,20
"2127","community religious home residences",25,20,35,41,87,32,210,20
"2128","refugee resettlements or repatriation services",2,13,68,92,99,101,221,1
"2129","market intelligence or competitive analysis",25,20,35,41,87,32,210,20
"2130","investment advice",14,36,89,21,91,16,71,205
"2131","immigration analysis or services",1,50,31,92,99,80,119,1
"2132","security chains or accessories",18,30,48,9,119,11,176,235
"2133","handyman services",10,46,54,72,58,51,109,60
"2134","passport services",10,46,54,72,58,51,109,60
"2135","civil liability services",1,50,31,98,149,80,119,106
"2136","confinement surveillance systems maintenance or monitoring",20,16,71,4,11,39,212,101
"2137","inventory accounting",14,36,89,21,127,78,188,176
"2138","printer or copier paper",23,12,78,21,129,111,126,91
"2139","domestic air cargo transport",25,20,35,62,64,32,210,198
"2140","prefabricated commercial and industrial structures",25,20,35,62,64,32,143,182
"2141","art design or graphics",23,12,53,41,87,20,12,20
"2142","human resources productivity audits",25,20,35,62,64,98,173,184
"2143","study abroad advisory services",2,13,68,98,149,101,221,5
"2144","self elevating workover platforms",25,20,35,62,64,32,210,127
"2145","nursery services",10,46,54,72,58,51,109,60
"2146","portraits",7,2,8,35,110,15,34,165
"2147","photographs",7,2,8,86,137,15,184,150
"2148","news agency wire services",2,13,68,94,63,101,221,189
"2149","supply of three phase electricity",25,20,96,63,145,7,25,162
"2150","scanner accessories",13,5,24,58,146,69,222,248
"2151","warehouses",7,2,8,86,137,15,34,150
"2152","agricultural tractors",14,36,89,21,91,16,71,205
"2153","warehousing equipment and supplies",19,6,87,82,3,17,16,56
"2154","rack systems for rack mount electronic equipment",5,18,41,32,68,42,23,244
"2155","stenotype machines",14,36,88,95,102,113,21,250
"2156","lamps",7,2,8,86,137,15,34,150
"2157","magnetic stripe readers and encoders",25,20,35,86,137,32,210,150
"2158","fridge bar",14,36,89,86,137,16,71,150
"2159","printer ribbon",14,36,89,21,91,16,71,33
"2160","remedy consultations",14,36,89,86,137,16,71,150
"2161","remote database information retrieval services",15,8,40,18,65,18,120,157
"2162","soil testing kits",23,12,53,41,8,59,85,231
"2163","glass waste or scrap",23,12,53,7,67,37,98,143
"2164","security uniforms",14,36,89,21,91,118,26,6
"2165","commercial use coffee or iced tea makers",4,48,55,47,66,126,17,62
"2166","plants and ornamental trees",23,12,53,41,87,20,12,20
"2167","water treatment and supply equipment",11,32,34,23,54,102,180,226
"2168","cooking machinery",14,36,63,86,137,61,202,102
"2169","waste containers and accessories",18,30,48,9,119,11,176,235
"2170","ducts",7,2,8,35,110,15,34,165
"2171","audio presentation and composing equipment and hardware and controllers",4,48,32,85,123,75,74,201
"2172","kitchen equivalents or kitchen math instructional aids",5,18,41,57,14,42,23,51
"2173","chemical fertilisers and plant nutrients",25,20,35,62,64,32,210,127
"2174","irrigation",7,2,8,86,137,15,34,150
"2175","infrastructure construction",14,36,89,21,91,16,71,205
"2176","carpet cleaning equipment",19,6,87,20,3,17,47,247
"2177","absorbent mats",14,36,89,21,91,16,71,205
"2178","soil",7,2,8,86,137,15,34,150
"2179","sub assemblies for electronic devices",25,20,35,28,31,13,169,105
"2180","architect associations",14,36,1,86,137,16,239,150
"2181","security tags",14,36,89,21,91,118,26,6
"2182","paint applicators and painting accessories",4,48,55,5,94,126,242,191
"2183","fire prevention services",1,50,31,98,149,80,119,106
"2184","clocks",7,2,8,35,110,15,34,165
"2185","energy use reduction measures",25,20,35,41,87,32,210,20
"2186","reading development materials or kits",25,20,2,62,34,65,67,139
"2187","pollutants tracking and monitoring and rehabilitation services",15,8,40,18,65,18,120,157
"2188","fishing and aquaculture equipment",19,6,87,20,3,17,47,247
"2189","art exhibitions",14,36,89,21,91,16,37,205
"2190","extrusions",7,2,8,86,137,15,34,150
"2191","machined castings",14,36,88,24,48,113,21,113
"2192","bookbinding",7,2,8,35,110,15,34,165
"2193","furniture storage",14,22,61,22,89,93,168,115
"2194","corporate environmental auditing services",2,13,68,94,63,101,221,189
"2195","lecterns and sound systems and accessories",25,47,7,13,10,12,233,211
"2196","web handling and control machinery and equipment and supplies",4,48,32,85,123,75,74,201
"2197","packing",7,2,8,86,137,15,34,150
"2198","television broadcasting station management",25,20,35,62,64,32,210,127
"2199","national planning services",1,50,99,98,149,80,164,54
"2200","funeral services",10,46,54,72,58,51,109,60
"2201","stage or studio lighting systems",25,47,7,13,92,12,181,220
"2202","health systems evaluation services",2,13,38,94,63,128,123,155
"2203","disaster preparedness response services",2,13,68,94,63,101,221,189
"2204","electronic software reference material",25,3,91,39,77,49,86,24
"2205","social structure studies or related services",15,8,40,18,65,18,120,157
"2206","cut flowers",14,36,89,21,91,16,71,205
"2207","mobiles",7,2,8,86,137,15,18,150
"2208","audio visual equipment accessories",11,32,34,75,36,102,182,128
"2209","court building",14,34,89,21,91,16,138,233
"2210","carpet or rug manufacturing services",2,13,68,98,149,101,221,168
"2211","engineering equipment maintenance services",8,13,97,10,139,124,13,209
"2212","sheriffs services",10,46,54,72,58,51,109,60
"2213","appeals process or judicial review",25,20,35,21,91,32,210,205
"2214","wall fixtures",14,36,89,21,91,16,71,205
"2215","parking lot",14,36,89,21,91,16,71,205
"2216","seismic vessel",14,36,89,86,137,16,71,150
"2217","ground or surface water surveying",25,20,15,1,64,116,196,120
"2218","stuffed animals or puppets",23,12,53,86,137,20,12,150
"2219","biochemicals",7,2,8,35,110,15,34,165
"2220","taxes other than income tax",16,16,42,62,64,57,224,127
"2221","oil wastes",14,36,89,21,112,64,66,50
"2222","switched dial up and leased dedicated line circuit telecommunications services",5,18,83,67,29,100,137,94
"2223","transaction security and virus protection software",3,16,45,39,77,9,110,8
"2224","retirement funds",14,36,89,21,91,16,71,205
"2225","footpath",7,2,8,35,110,15,34,165
"2226","dam maintenance or management services",8,13,13,14,97,30,89,208
"2227","windows",7,2,8,86,137,15,184,150
"2228","ring road",14,36,89,21,91,16,71,205
"2229","geophysical and geotechnical instruments",23,12,53,86,137,20,12,102
"2230","cultural heritage preservation or promotion services",15,8,40,94,63,18,120,189
"2231","paving breakers",14,36,89,86,137,16,71,150
"2232","library or documentation training",23,12,53,79,38,29,172,20
"2233","transport infrastructure",14,7,84,56,30,77,178,197
"2234","urban development planning services",2,13,5,94,63,2,9,68
"2235","pavement marking services",1,50,31,72,58,80,119,60
"2236","land administration services",21,50,23,15,84,80,84,14
"2237","traffic signals",14,36,89,21,91,16,71,205
"2238","landform models",14,36,89,86,137,16,71,150
"2239","extension services",10,46,54,92,99,51,109,1
"2240","strip lights",14,36,89,21,91,16,71,205
"2241","fencing",7,2,8,86,137,15,34,150
"2242","circuses",7,2,8,35,110,15,34,165
"2243","cement and ceramics and glass industry machinery and equipment and supplies",5,18,50,57,14,44,54,51
"2244","pedestrian ways",14,36,89,86,137,16,71,150
"2245","programming for visual basic",23,12,53,79,109,20,228,20
"2246","telephone call accounting systems",25,47,7,4,11,12,181,101
"2247","bulk material carriers",23,35,94,90,81,144,44,185
"2248","mail sorters or organisers",23,12,53,21,91,33,80,205
"2249","electronic newspapers",14,36,66,21,91,16,55,199
"2250","automated storage or retrieval systems",25,47,7,4,11,12,181,101
"2251","doors",7,2,8,86,137,15,34,150
"2252","water policy advisory services",2,40,68,94,47,142,153,88
"2253","environmental technology advisory services",2,40,68,94,63,101,221,189
"2254","environmental sciences advisory services",2,40,68,94,63,101,221,189
"2255","bill drafting services",1,50,31,92,99,80,119,1
"2256","office suite software",23,14,51,71,105,82,205,179
"2257","art",7,2,8,86,137,15,147,150
"2258","interior lighting and fixtures",23,12,53,41,87,76,40,20
"2259","water resource management",23,12,56,64,9,54,209,134
"2260","greeting or note or post cards",25,20,35,21,91,32,210,205
"2261","venetian blinds",14,36,89,86,137,16,71,150
"2262","pruning services or ornamental plant or bush",15,8,40,94,63,18,120,189
"2263","stone or tile flooring",23,12,53,41,87,20,12,20
"2264","crating services",10,46,54,72,58,51,109,60
"2265","plumbing system maintenance or repair",25,47,7,4,11,12,181,101
"2266","auto shows or other exhibits",23,12,53,21,91,20,12,205
"2267","library book or borrowers cards",25,20,35,41,87,32,210,44
"2268","toys",7,2,8,86,137,15,34,150
"2269","self adhesive signs",23,12,53,41,87,20,115,20
"2270","temporary marketing staff needs",25,20,35,62,72,32,22,127
"2271","coating machines",14,36,88,24,48,113,21,113
"2272","metal housings or cabinets",23,12,53,41,87,20,38,20
"2273","nickel based super alloys",25,20,35,21,91,32,210,205
"2274","packaging tubes and cores and labels and accessories",16,16,81,50,113,45,70,45
"2275","pallets",7,2,8,35,110,15,34,165
"2276","machine tools",14,36,88,24,13,113,21,113
"2277","permanent marketing staff needs",25,20,35,62,72,32,22,127
"2278","air compressors",14,36,89,21,91,133,71,205
"2279","display systems or its accessories",18,27,48,13,10,10,91,211
"2280","carded packaging",14,36,89,21,91,78,127,205
"2281","filing cabinets or accessories",18,30,48,9,119,11,176,235
"2282","steel",7,2,8,86,137,15,34,150
"2283","polytechnic",7,2,8,35,110,15,34,165
"2284","inventory management software",23,14,56,99,105,22,162,179
"2285","sewage treatment services",1,50,31,92,99,80,119,1
"2286","newsprint and offset papers",23,12,78,41,87,111,126,20
"2287","studio photography services or still photographs",15,8,40,94,63,18,120,189
"2288","animal hides and skins and animal textile materials",5,18,41,57,14,42,23,51
"2289","poster advertising",14,41,89,21,136,121,206,202
"2290","surface water treatment services",2,40,68,94,47,142,153,88
"2291","customs brokerage services",1,50,31,92,99,80,119,1
"2292","booths",7,2,8,86,137,15,34,150
"2293","elevator maintenance services.",1,50,31,14,149,80,119,129
"2294","furnaces",7,2,8,86,137,15,34,150
"2295","hazardous waste or scrap",23,12,53,7,67,37,98,143
"2296","precious metals",24,29,89,26,41,16,71,205
"2297","metal solids",24,29,89,86,137,16,71,150
"2298","franchise operations",14,36,89,86,137,16,71,150
"2299","re financing services",10,46,54,92,99,51,109,1
"2300","health service planning",1,50,99,98,149,80,164,54
"2301","personal assistance service unions",2,13,68,98,37,101,221,146
"2302","teleconferencing console",14,36,89,86,137,16,71,150
"2303","switch or router software",23,14,51,91,126,82,205,126
"2304","export development",14,36,89,46,137,16,141,173
"2305","culture promotional services",1,50,31,98,149,80,119,181
"2306","health or hospitalisation insurance",23,12,53,21,91,20,12,205
"2307","professional schools",14,36,89,21,91,16,71,205
"2308","camera kits",14,36,60,44,18,64,73,17
"2309","investment analysis",14,36,89,21,138,16,118,205
"2310","development of small scale industries",25,20,35,41,142,32,143,178
"2311","personal computer pc application design",25,20,35,1,44,129,50,222
"2312","market data",14,36,58,48,127,117,118,144
"2313","information retrieval systems",17,27,100,13,92,150,241,220
"2314","trade promotion services",1,50,36,98,149,80,164,181
"2315","microfilm production equipment and supplies",11,32,34,23,54,102,180,226
"2316","conversational foreign language instruction",25,20,35,62,64,32,210,127
"2317","clean rooms",14,36,89,60,91,16,71,110
"2318","curriculum based electronic learning aids",16,16,42,62,64,57,224,127
"2319","graphical user interface development software",3,16,45,47,85,9,110,62
"2320","radiographic equipment",14,10,86,81,75,148,200,195
"2321","identification documents",14,36,89,21,91,16,71,205
"2322","counterterrorism",7,2,8,35,110,15,34,165
"2323","templates",7,2,8,35,110,15,34,165
"2324","scientific instruments or measuring equipment manufacture services",12,43,72,67,29,99,93,223
"2325","personal assistance services",1,50,31,98,37,80,119,146
"2326","manual test kits and quality controls and calibrators and standards",5,18,80,57,14,71,54,51
"2327","printing machinery and equipment",19,6,73,20,3,60,166,75
"2328","modems",7,2,8,86,137,15,34,150
"2329","conversation recording units",23,12,53,41,87,20,207,20
"2330","videoscopes",7,2,8,35,110,15,34,165
"2331","autoclave and steriliser equipment and accessories",11,32,34,8,144,102,182,43
"2332","ultrasonic cleaning equipment",19,6,87,81,75,17,47,195
"2333","solar collecting devices",23,12,53,41,87,20,12,93
"2334","microwave antennas",14,36,89,21,91,16,71,205
"2335","rehabilitation exercise devices and equipment",11,32,20,20,3,88,33,247
"2336","distributive or service trade statistics",2,13,68,94,63,101,221,189
"2337","shelters",7,2,8,86,137,15,34,150
"2338","manufacturing equipment maintenance and repair services",15,8,40,42,76,92,220,180
"2339","manufacturing equipment maintenance services",8,13,97,10,139,124,13,209
"2340","automotive or aircraft wire",23,25,3,33,4,59,97,158
"2341","sirens",7,2,8,35,110,15,34,165
"2342","x ray diffraction equipment",19,6,87,81,75,17,47,195
"2343","legislative bodies and practice",23,12,53,41,87,20,12,20
"2344","mail sealing machines",23,12,74,41,87,66,129,219
"2345","money counting machines",23,12,74,24,48,66,129,113
"2346","poster boards",14,36,89,21,91,16,71,205
"2347","wrap or tag or label or seal or bag printing",4,48,55,5,94,126,17,90
"2348","rulers",7,2,8,35,110,15,34,165
"2349","writing instruments",14,44,89,83,45,16,114,15
"2350","lobbying services",10,46,54,72,58,51,109,60
"2351","satellite or earth communication systems services",15,15,40,18,65,41,132,109
"2352","sanitary waste receptacles",23,12,53,21,91,37,98,205
"2353","post office box services",2,13,68,94,63,101,221,189
"2354","fisheries operations",14,36,89,21,91,16,71,187
"2355","fishery commercial management",23,38,56,64,9,54,209,134
"2356","fishery information or documentation services",2,13,68,94,63,101,221,189
"2357","fisheries oversight",14,36,89,21,91,16,71,187
"2358","films",7,2,8,86,137,15,184,150
"2359","network operating system enhancement software",3,16,71,47,52,39,42,214
"2360","interface bus switches",23,12,53,41,87,20,12,20
"2361","tape arrays",14,36,89,86,137,108,121,150
"2362","colour copy or collating services",2,13,68,94,63,101,221,189
"2363","sale of commercial building",23,38,93,41,108,54,144,133
"2364","signage characters",14,36,89,21,91,16,71,205
"2365","electrical fittings",14,36,37,2,91,16,141,186
"2366","cabinetry",7,2,8,86,137,15,34,150
"2367","utility and device driver software",25,3,91,39,77,49,86,8
"2368","digital mobile network infrastructure equipment and components",4,48,32,85,123,75,74,201
"2369","computerised information retrieval systems",25,47,7,13,92,12,233,220
"2370","presses",7,2,8,86,137,15,34,150
"2371","crystallography equipment",14,10,86,84,70,148,200,213
"2372","digital analyser controllers",23,12,53,41,87,67,211,175
"2373","chromatography pumps",14,36,89,46,137,16,71,123
"2374","cryogenic pumps",14,36,89,46,137,16,71,123
"2375","power monitoring or control systems",25,47,7,66,11,31,181,101
"2376","radioisotope sources",14,36,89,21,91,16,71,205
"2377","spectrophotometers",7,2,8,35,110,15,34,165
"2378","cross curricular projects",23,12,53,21,91,20,12,205
"2379","radiation protection services",1,50,31,98,149,80,119,106
"2380","alpha counters",14,36,89,86,137,16,71,150
"2381","live performances",14,36,89,21,91,16,71,205
"2382","photographic or picture mounting or framing services",15,8,40,18,65,18,120,157
"2383","basic job skills instructional materials",16,4,42,47,107,114,11,49
"2384","charity organisations",14,36,89,86,137,16,71,150
"2385","internet advertising",14,41,89,21,136,121,206,202
"2386","air conditioning or ventilating or refrigeration equipment manufacture services",5,18,50,29,51,40,56,80
"2387","tax collection services",1,50,31,98,149,80,119,106
"2388","multi function printers",23,12,53,41,87,20,12,20
"2389","contagious disease prevention and control",25,20,35,41,87,32,210,175
"2390","housekeeping services",10,46,54,72,58,51,109,60
"2391","desktop publishing software",23,14,51,71,105,82,205,179
"2392","springs",7,2,8,86,137,15,34,150
"2393","calculators or accessories",13,5,24,80,131,69,222,73
"2394","conference calling services",1,50,31,98,149,80,119,106
"2395","surface data logging equipment",11,32,20,75,36,88,33,58
"2396","forensic it services",10,46,54,92,99,51,109,1
"2397","cassette disposal equipment and accessories",11,32,34,75,36,102,182,128
"2398","print servers",14,26,70,3,140,109,183,59
"2399","antistatic maintenance kits",23,12,53,41,8,59,85,231
"2400","taxation policy",14,36,89,21,91,16,71,205
"2401","magazine or book covers",23,12,53,41,87,20,12,44
"2402","visual presenters",14,36,89,21,91,16,71,205
"2403","speech writing",14,36,89,21,91,16,5,205
"2404","solar radiation surface observing apparatus",16,16,42,47,66,57,224,62
"2405","radar antennas",14,36,89,21,91,16,71,205
"2406","hydrological instruments",14,44,89,86,137,16,114,102
"2407","climatology",7,2,8,35,110,15,34,165
"2408","briefcases",7,2,8,35,110,15,34,165
"2409","goniometers",7,2,8,35,110,15,34,165
"2410","cognitive and dexterity and perceptual and sensory evaluation and therapy products",5,18,80,36,150,71,54,42
"2411","steaming machinery",14,36,63,43,59,61,202,87
"2412","ventilation",7,2,8,86,137,15,34,150
"2413","partitions",7,2,8,35,110,15,34,165
"2414","water models",14,36,89,45,122,132,104,78
"2415","radio related services",1,50,75,98,125,80,88,103
"2416","smoke detectors",14,36,89,86,137,16,71,150
"2417","drug or alcohol screening",23,12,53,41,87,20,12,20
"2418","garbage collection or destruction or processing or disposal",16,16,42,62,64,57,224,127
"2419","private or business propeller aircraft",25,20,35,62,46,32,186,190
"2420","identification cards or bands or similar products",16,16,42,36,150,57,31,42
"2421","hardware or telephony adapters",23,12,53,41,87,20,12,20
"2422","titanium bars",14,36,89,86,137,16,71,150
"2423","hydraulic cylinders and pistons",23,12,53,21,80,20,12,53
"2424","weapons destruction",14,36,89,21,91,16,71,205
"2425","milling machines",14,36,88,95,102,113,21,250
"2426","fiberscopes",7,2,8,35,110,15,34,165
"2427","athletic footwear",14,36,89,21,91,16,71,205
"2428","blanket frames or lifters",23,12,53,21,91,20,12,205
"2429","integrated tool carriers",22,12,53,78,87,20,218,231
"2430","grinding machines",14,36,88,24,48,113,21,113
"2431","quilts",7,2,8,35,110,15,34,165
"2432","decorative buttons",14,36,89,21,91,16,71,205
"2433","emergency resuscitator or aspirator kits",25,20,35,41,8,115,203,231
"2434","womens dresses or skirts or saris or kimonos",16,16,42,21,91,57,224,205
"2435","miscellaneous assembly machines",23,12,74,28,28,66,129,219
"2436","disaster warning services",1,50,31,98,149,80,119,106
"2437","cutting dies or tooling",22,12,53,78,87,20,218,231
"2438","resistors",7,2,8,35,110,15,34,165
"2439","measuring and layout tools",22,12,53,78,87,20,218,231
"2440","name plates or tags",23,12,53,41,87,20,12,20
"2441","hammer drills",14,36,89,86,137,16,71,150
"2442","interior vehicle lighting",23,12,79,41,43,95,69,55
"2443","wrenches and drivers",14,36,89,21,91,16,71,205
"2444","combined refrigerator freezers",23,12,53,41,87,20,12,20
"2445","polystyrene ps",7,2,8,35,110,15,34,165
"2446","drivetrain systems",13,5,16,25,53,86,175,225
"2447","fire breathing apparatus",23,12,53,41,87,20,12,136
"2448","scaffolding",7,2,8,35,110,15,34,165
"2449","aircraft windshields",14,23,60,97,6,91,223,114
"2450","absorbent socks",14,36,89,21,91,16,71,205
"2451","acrylate or methacrylate intermediates",23,12,53,35,110,20,12,165
"2452","caps",7,2,8,35,110,15,34,165
"2453","self propelled artillery",23,12,53,21,91,20,115,205
"2454","pulling tools",14,36,60,21,134,89,108,46
"2455","bandsaws and accessories",13,5,24,80,131,69,222,73
"2456","folding machines",14,36,88,24,48,113,21,113
"2457","disc brake",14,36,89,21,91,16,71,205
"2458","folding chairs",14,36,89,21,91,16,71,205
"2459","carbon dioxide gas co2",23,12,26,86,137,25,208,174
"2460","stopper pad",14,36,89,21,91,16,71,205
"2461","mens overalls or coveralls",23,12,53,41,87,20,12,20
"2462","plastic injection moulds",23,12,53,21,91,20,12,204
"2463","airway pressure gages",23,12,53,21,91,20,12,205
"2464","coaxial cable",14,21,37,93,137,146,193,173
"2465","heat resistant cables",23,12,53,41,87,131,199,245
"2466","packer pulling tools",22,12,53,21,134,20,218,46
"2467","aircraft canopies",14,23,60,27,71,91,223,156
"2468","drink holders for the physically challenged",25,20,35,62,88,52,210,2
"2469","commercial use cutlery",23,38,53,41,87,54,63,20
"2470","multimeters",7,2,8,35,110,15,34,165
"2471","encephalitis virus vaccine",23,12,53,21,124,105,12,131
